rank,title,genre,year,score,platform,age_group,gender,genre_detail,director,runtime,streaming,production,rating,broadcast_period,episodes,cast,country,language
18,썬더볼츠*,영화,2025,96.2,"boxoffice, coupang, disney",30대,여성,,제이크 슈라이어,,,마블 스튜디오,,,,세바스티안 스탄 해나 존카먼 와이엇 러셀 줄리아 루이드라이퍼스 플로렌스 퓨 데이비드 하버 올가 쿠릴렌코 해리슨 포드 루이스 풀먼,미국,영어
27,A MINECRAFT MOVIE 마인크래프트 무비,영화,2025,63.8,"boxoffice, coupang, disney",30대,여성,,재러드 헤스[1],,,"레전더리 엔터테인먼트
모장 스튜디오
버티고 엔터테인먼트
도메인 엔터테인먼트
온 더 롬",,,,잭 블랙 제이슨 모모아 엠마 마이어스 대니엘 브룩스 서배스천 유진 핸슨 제니퍼 쿨리지,미국,영어
30,24시 헬스클럽,드라마,2025,66.7,"coupang, disney, watcha, wavve",30대,여성,"로맨틱 코미디, 성장",박준수 최연수,70분,"KBS 드라마, TLC","CJ ENM 스튜디오스, 본팩토리, 몬스터유니온, 키이스트",,2025년 4월 30일 ~ 2025년 6월 5일,12부작,이준영 정은지 외,한국,
31,디어엠,드라마,2025,85.7,"coupang, disney, watcha, wavve",30대,여성,"청춘, 로맨스",박진우 서주완,70분,KBS Drama,"플레이리스트, 몬스터유니온",,2025년 4월 14일 ~ 2025년 5월 20일,12부작,박혜수 정재현 노정의 배현성 우다비 이진혁 외,,
32,바이러스,영화,2025,46.0,"boxoffice, coupang, disney",30대,여성,,,,,,,,,,,
33,해피엔드,영화,2024,97.3,"boxoffice, coupang, disney",30대,여성,,소라 네오,,,"작쿠발란
시네릭 크리에이티브
시네마 이누틸레
기린 픽처스
스파크 피처스
Sons of Rigor",,,,쿠리하라 하야토 히다카 유키토 하야시 유타 시나 펭 아라지 이노리 키라라 나카지마 아유무 야하기 마사루 푸심 와타나베 마키코 사노 시로,"일본
미국",일본어[1]
38,"미안하다, 사랑한다",드라마,2004,94.0,"coupang, disney, watcha, wavve",30대,여성,"멜로, 로맨스, 휴머니즘",이형민,70분,스카이 KBS 드라마KBS 프라임(이상 유료방송),,,2004년 11월 8일 ~ 2004년 12월 28일,16부작,소지섭 임수정 정경호 서지영 외,대한민국,
40,서브스턴스,영화,2024,94.3,"coupang, disney, watcha, wavve",30대,여성,,,,,,,,,,,
41,태어난 김에 세계일주,예능,2022,95.1,"coupang, disney, wavve",30대,여성,여행 버라이어티,나성희 배준휘 유현철 정재호 류서현 고미혜 김나연 이미희 최성수 김민아 박혜빈 이은솔 조은빈 김연홍 최유나,95분,MBC 드라마넷MBC 에브리원MBC M더라이프채널SE채널,,,시즌 1: 2022년 12월 11일 ~ 2023년 1월 22일,시즌 1: 7부작,기안84 빠니보틀 이시언,대한민국,
42,괴수 8호: 미션 리컨,"영화, 애니메이션",2025,80.0,"boxoffice, coupang, disney",30대,여성,,,,,,,,,,,
45,조명가게,드라마,2024,93.8,"coupang, disney",30대,여성,"공포, 미스터리",김희원,,,"미스터로맨스, 무빙픽쳐스컴퍼니",,2024년 12월 4일 ~ 2024년 12월 18일,8부작,주지훈박보영 외,대한민국,
46,범죄도시 2,영화,2022,93.3,"coupang, disney, wavve",30대,여성,,이상용,,,"빅펀치픽쳐스
홍필름
비에이엔터테인먼트",,,,마동석 손석구 최귀화 박지환 허동원 하준 정재광 남문철 박지영,대한민국,한국어
47,하이퍼나이프,드라마,2025,87.2,"coupang, disney",30대,여성,"의학, 범죄 스릴러",김정현[1],1시간 8분,,"주식회사 동풍, 블라드스튜디오",,2025년 3월 19일 ~ 2025년 4월 9일,8부작,설경구 박은빈 외,대한민국,
48,콘클라베,영화,2024,98.5,"boxoffice, coupang, disney, watcha, wavve",30대,여성,,,,,,,,,,,
49,28주 후,영화,2007,88.1,"coupang, disney, wavve",30대,여성,,후안 카를로스 프레스나디요,,,"DNA Films,Figment Films",,,,,영국,영어
50,극장판 진격의 거인 완결편 더 라스트 어택,"영화, 애니메이션",2024,98.7,"boxoffice, coupang, disney",30대,여성,,하야시 유이치로,,,,,,,카지 유우키 이시카와 유이 이노우에 마리나 그 외,일본,일본어
51,로비,영화,2025,58.3,"coupang, disney, watcha, wavve",30대,여성,,,,,,,,,,,
53,독수리 5형제를 부탁해!,드라마,2025,87.5,"coupang, disney, wavve",30대,여성,"가족, 코미디",최상열 이진아,1시간 20분,"KBS 드라마, KBS 월드",DK E&M,,2025년 2월 1일 ~ 2025년 7월 20일,50부작,엄지원 안재욱 최대철 김동완 윤박 이석기,한국,
56,범죄도시,영화,2017,92.7,"coupang, disney, wavve",30대,여성,,강윤성,,,"홍필름
비에이엔터테인먼트",,,,마동석 윤계상 조재윤 최귀화 임형준 진선규 홍기준 허동원 하준,대한민국,
57,나 혼자 산다,예능,2013,65.0,"coupang, disney, watcha, wavve",30대,여성,관찰 버라이어티,허항 강지희 박수빈,110분,MBC 에브리원  MBC 드라마넷  MBC M  E채널  코미디TV  드라맥스  드라마큐브  ENA 플레이  TLC,MBC 예능본부,,2013년 3월 22일 ~ 현재,596회 (2025년 5월 16일 기준),전현무 기안84 박나래 Key 코드 쿤스트 김대호 이주승 이장우 김광규,대한민국,
59,플로리다 프로젝트,영화,2018,96.0,"boxoffice, coupang, disney",30대,여성,,숀 베이커,,,크리 필름스프리스타일 픽처스 컴퍼니시네리치준 픽처스,,,,윌럼 더포브루클린 프린스브리아 비나이테발레리아 코토크리스토퍼 리베라케일럽 랜드리 존스,미국,영어
60,최종병기 앨리스,드라마,2022,73.3,"coupang, disney, watcha",30대,여성,"액션, 로맨스",서성원,,,,,2022년 6월 24일 ~,8부작,박세완송건희김성오김태훈정승길,대한민국,
62,범죄도시4,영화,2024,74.2,"coupang, disney, wavve",30대,여성,,허명행[1],,,빅펀치픽쳐스홍필름비에이엔터테인먼트,,,,마동석 김무열 박지환 이동휘 이범수 김민재 이지훈 김도건 김지훈 현봉식 이주빈 김신비,대한민국,한국어
64,드래곤 길들이기,"영화, 애니메이션",2010,97.1,"coupang, disney, watcha, wavve",30대,여성,,딘 드블루아크리스 샌더스,,,드림웍스 애니메이션,,,,제이 배러셜아메리카 페레라제라드 버틀러크레이그 퍼거슨,미국,영어
66,무빙,드라마,2023,95.9,"coupang, disney",30대,여성,,,,,,,,,,,
68,검은 수녀들,영화,2025,38.7,"coupang, disney",30대,여성,,권혁재,,,영화사 집,,,,송혜교 전여빈 이진욱 문우진,대한민국,한국어
70,미키 17,영화,2025,93.9,"coupang, disney, wavve",30대,여성,,봉준호,,,"플랜 B 엔터테인먼트
오프스크린
케이트 스트리트 픽처 컴퍼니",,,,로버트 패틴슨 나오미 애키 스티븐 연 토니 콜렛 마크 러펄로 홀리데이 그레인저,미국 대한민국,영어
71,히트맨2,영화,2025,51.5,"coupang, disney, wavve",30대,여성,,,,,,,,,,,
72,위드 러브,영화,2025,40.0,"boxoffice, coupang, disney",30대,여성,,,,,,,,,,,
74,마녀,영화,2018,82.7,"coupang, disney, wavve",30대,여성,,박훈정,,,영화사 금월페퍼민트앤컴퍼니,,,,김다미 조민수 박희순 최우식,대한민국,한국어
77,퇴마록,"영화, 애니메이션",2025,94.2,"coupang, disney, watcha, wavve",30대,여성,,김동철,,,로커스 스튜디오,,,,최한 남도형 홍승효 황창영 김민주 정유정 표영재 김연우,대한민국,한국어
78,백설공주,영화,2025,19.8,"coupang, disney",30대,여성,,마크 웨브,,,월트 디즈니 픽처스마크 플랫 프로덕션스,,,,레이철 제글러갈 가도트앤드루 버냅,미국,영어
79,히든 페이스,영화,2024,80.2,"coupang, disney",30대,여성,,김대우,,,스튜디오앤뉴,,,,송승헌 조여정 박지현,대한민국,한국어
82,원티드,영화,2008,93.7,"coupang, disney, watcha, wavve",30대,여성,,,,,,,,,,,
84,뉴토피아,드라마,2025,61.3,"coupang, disney",30대,여성,"좀비 아포칼립스, 로맨틱 코미디, 밀리터리, 액션, 고어, 드라마, 재난, 디스토피아, 코미디",윤성현,,,"바운드엔터테인먼트, 빌리언스플러스",,2025년 2월 7일 ~,8부작,박정민 지수,,
85,전지적 참견 시점,예능,2018,59.4,"coupang, disney, watcha, wavve",30대,여성,관찰 버라이어티,윤혜진 이준범,95분,MBC 드라마넷  MBC 에브리원  MBC M  채널S  코미디 TV  더 라이프  NXT  TLC,MBC 예능본부,,2018년 3월 3일 ~ 현재,346회 (2025년 5월 10일 기준),,대한민국,
87,캡틴 아메리카: 브레이브 뉴 월드,영화,2025,79.1,"coupang, disney",30대,여성,,줄리어스 오나,,,마블 스튜디오,,,,앤서니 매키 대니 라미레즈 칼 럼블리 팀 블레이크 넬슨 시라 하스 해리슨 포드,미국,영어
90,플로우,"영화, 애니메이션",2024,95.8,"coupang, disney, watcha, wavve",30대,여성,,긴츠 질발로디스,,,"드림 웰 스튜디오
사크레블루 프로덕션스
테이크 파이브",,,,,벨기에 프랑스 라트비아,
93,SNL 코리아 시즌 7,예능,2016,85.7,"coupang, disney",30대,여성,,,,,,,,,,대한민국,
95,메간,영화,2023,75.5,"coupang, disney, watcha, wavve",30대,여성,,,,,,,,,,,
96,청설,영화,2024,87.8,"coupang, disney, watcha, wavve",30대,여성,,조선호[1],,,무비락어나더픽처스,,,,홍경노윤서김민주,대한민국,한국어
97,나미비아의 사막,영화,2024,84.4,"boxoffice, coupang, disney",30대,여성,,,,,,,,,,,
98,"그 시절, 우리가 좋아했던 소녀",영화,2025,35.5,"coupang, disney, watcha, wavve",30대,여성,,조영명,,,영화사테이크자유로픽쳐스,,,,진영다현,대한민국,한국어
99,변호인,영화,2013,95.5,"coupang, disney",30대,여성,,,,,,,,,,,
100,그린 마일,영화,2000,96.2,"coupang, disney, wavve",30대,여성,,,,,,,,,,,
1,당신의 맛,드라마,2025,80.0,"coupang, disney, netflix",40대,여성,"로맨틱 코미디, 성장, 요리",박단희,1시간 20분,"Genie TV, 넷플릭스",쇼트케이크,,2025년 5월 12일 ~ 방송 예정,10부작,강하늘 고민시 김신록 유수빈,한국,
5,언젠가는 슬기로울 전공의생활,드라마,2025,67.1,"coupang, disney, netflix, tving",40대,여성,"의학, 성장, 청춘, 일상, 코미디, 휴먼, 로맨스",이민수,1시간 20분,"tvN STORY, tvN DRAMA, TLC",에그이즈커밍,,2025년 4월 12일 ~ 2025년 5월 18일,12부작,고윤정 신시아 한예지 강유석 정준원 외,대한민국,
6,천국보다 아름다운,드라마,2025,64.0,"coupang, disney, netflix",40대,여성,,빈센트 워드,,,,,,,로빈 윌리엄스 쿠바 구딩 쥬니어 아나벨라 시오라,미국,영어
8,귀궁,드라마,2025,75.7,"coupang, disney, netflix, wavve",40대,여성,"사극, 로맨스, 판타지, 코미디, 드라마",윤성식 김지연,1시간 10분,SBS 플러스,"아이윌미디어, 스튜디오S",,2025년 4월 18일 ~ 2025년 6월 7일,16부작,육성재 김지연 김지훈 외,한국,
12,약한영웅 Class 1,드라마,2022,95.3,"coupang, disney, netflix, wavve",40대,여성,,,,,,,,,,,
14,폭싹 속았수다,드라마,2025,97.0,"coupang, disney, netflix",40대,여성,"드라마, 로맨스",김원석,,,"팬엔터테인먼트, 바람픽쳐스",,2025년 3월 7일 ~ 2025년 3월 28일[1],16부작,아이유 박보검 문소리 박해준 외,대한민국,
17,승부,영화,2025,94.7,"coupang, disney, netflix",40대,여성,,김형주,,,영화사 월광BH엔터테인먼트,,,,이병헌유아인,한국,한국어
19,하트페어링,예능,2025,85.7,"coupang, disney, netflix, tving, wavve",40대,여성,,,,,,,,,,,
20,태어난 김에 세계일주4,예능,2025,83.3,"coupang, disney, netflix, wavve",40대,여성,,,,,,,,,,,
21,데블스 플랜,예능,2023,88.0,"coupang, disney, netflix",40대,여성,리얼리티 경쟁,,,,,,,12,,,
22,슬기로운 의사생활 시즌 1,드라마,2020,95.5,"coupang, disney, netflix, tving",40대,여성,,,,,,,,,,,
23,임영웅│아임 히어로 더 스타디움,"영화, 공연",2024,26.9,"coupang, disney, netflix, watcha, wavve",40대,여성,,,,,,,,,,,
25,약한영웅 Class 2,드라마,2025,73.6,"coupang, disney, netflix",40대,여성,학원 액션 드라마 범죄 스릴러 느와르 성장 하이틴 복수 사회고발 피카레스크,유수민,,,"쇼트케이크, 플레이리스트, 재담미디어",,2025년 4월 25일,8부작,박지훈려운최민영유수빈배나라이민재이준영,대한민국,
26,진격의 거인 The Final Season 완결편 (전편),애니메이션,2023,98.4,"coupang, disney, netflix, tving, watcha, wavve",40대,여성,,,,,,,,,,,
28,슬기로운 의사생활 시즌 2,드라마,2021,89.4,"coupang, disney, netflix, tving",40대,여성,,,,,,,,,,,
34,데블스 플랜: 데스룸,예능,2025,95.2,"coupang, disney, netflix",40대,여성,,,,,,,,,,,
35,이혼숙려캠프,예능,2024,73.7,"coupang, disney, netflix, tving",40대,여성,,,,,,,,,,,
36,미션 임파서블: 데드 레코닝,영화,2023,95.4,"coupang, disney, netflix",40대,여성,,크리스토퍼 매쿼리,,,스카이댄스 미디어TC 프로덕션스,,,,톰 크루즈헨리 처니사이먼 페그레베카 페르구손버네사 커비헤일리 앳웰폼 클레멘티프셰이 위검이사이 모랄레스,미국,영어
39,노트북,영화,2004,90.8,"coupang, disney, netflix, wavve",40대,여성,,,,,,,,,,,
44,레디 오어 낫,영화,2019,83.7,"coupang, disney, netflix",40대,여성,,맷 베티넬리올핀타일러 질렛,,,폭스 서치라이트 픽처스미솔로지 엔터테인먼트빈슨 필름스,,,,사마라 위빙애덤 브로디마크 오브라이언헨리 처니앤디 맥다월,미국,영어
52,더 글로리 파트 2,드라마,2023,96.9,"coupang, disney, netflix",40대,여성,,,,,,,,,,,
61,중증외상센터,드라마,2025,96.9,"coupang, disney, netflix",40대,여성,,,,,,,,,,,
67,태어난 김에 세계일주 3,예능,2023,92.6,"coupang, disney, netflix, wavve",40대,여성,여행 버라이어티,나성희 배준휘 유현철 정재호 류서현 고미혜 김나연 이미희 최성수 김민아 박혜빈 이은솔 조은빈 김연홍 최유나,105분,MBC 드라마넷MBC 에브리원MBC M더라이프채널SE채널,,,2023년 11월 26일 ~ 2024년 2월 4일,10부작,기안84 덱스 빠니보틀 이시언,대한민국,
89,악마를 보았다,영화,2010,86.9,"coupang, disney, netflix, tving, watcha, wavve",40대,여성,,김지운,,,,,,,이병헌최민식,대한민국,한국어
91,오징어 게임 시즌 2,드라마,2024,77.5,"coupang, disney, netflix",40대,여성,,,,,,,,,이정재 이병헌 위하준 임시완 강하늘 이진욱 박성훈 양동근 조유리 강애심 이서환 박규영,,
92,높은 풀 속에서,영화,2019,42.7,"coupang, disney, netflix",40대,여성,,빈첸초 나탈리,,,,,,,해리슨 길버트슨 라이즐라 디올리베라 레이철 윌슨 패트릭 윌슨,캐나다,영어
94,엑스테리토리얼,영화,2025,48.0,"coupang, disney, netflix",40대,여성,,,,,,,,,,,
37,신병 시즌 3,드라마,2025,95.9,"coupang, disney, tving",40대,여성,"블랙 코미디, 밀리터리, 사회고발",민진기,1시간 20분,"Genie TV, TVING","A22 엔터테인먼트, 스토리아일랜드",,2025년 4월 7일 ~ 2025년 4월 29일,8부작,김민호 김동준 오대환 남태우 이상진 김요한 조진세 이충구 전승훈 이수지 강효승 이정현 김현규,한국,
43,바니와 오빠들,드라마,2025,60.0,"coupang, disney, tving, wavve",40대,여성,"로맨틱 코미디, 캠퍼스, 역하렘, 청춘, 성장",정동건 박소영 권윤지 오승현,1시간 20분,,카카오엔터테인먼트,,2025년 4월 11일 ~ 2025년 5월 17일,12부작,노정의 이채민 조준영 김현진 홍민기 외,대한민국,
55,지지고 볶는 여행,예능,2025,66.7,"coupang, disney, tving",40대,여성,,,,,,,,,,,
58,더 샌드,영화,2016,11.8,"coupang, disney, tving, watcha, wavve",40대,여성,,아이작 거바이에프,,,,,,,딘 가이어 메건 홀더 미첼 무소,미국,영어
65,선재 업고 튀어,드라마,2024,93.0,"coupang, disney, tving",40대,여성,"로맨틱 코미디, 가족, 판타지, 청춘, 힐링, 스릴러",김태엽 윤종호,1시간 20분,"tvN DRAMA, NXT, 채널S",본팩토리,,2024년 4월 8일 ~ 2024년 5월 28일,16부작,변우석 김혜윤 이승협 송건희 외,대한민국,
73,뭉쳐야 찬다 4,예능,2025,20.0,"coupang, disney, tving",40대,여성,,,,,,,,,,,
75,"이재, 곧 죽습니다 part 2",드라마,2024,94.2,"coupang, disney, tving",40대,여성,,,,,,,,,,,
76,"이재, 곧 죽습니다 part 1",드라마,2023,93.7,"coupang, disney, tving",40대,여성,,,,,,,,,,,
81,언니네 산지직송2,예능,2025,28.6,"coupang, disney, tving",40대,여성,여행,김세희 김만희 김보나 김동준 정인혁 최승호 장연주 오상훈 손성민 안민범 김수정 염희주 최수빈 엄재현 이광복 안상훈 최믿음 최해인 양인영,80분,"tvN STORY, tvN SHOW",,,2025년 4월 13일 ~현재,13부작,,대한민국,
86,샤크: 더 비기닝,영화,2021,58.5,"coupang, disney, tving",40대,여성,,채여준,,,,,,,김민석 위하준 정원창,한국,한국어
3,야당,영화,2025,90.4,"boxoffice, coupang, disney",40대,여성,,,,,,,,,,,
4,파과,영화,2025,85.4,"boxoffice, coupang, disney",40대,여성,,민규동,,,수필름,,,,이혜영 김성철 연우진 김무열 신시아,대한민국,한국어
7,알라딘,영화,2019,93.0,"coupang, disney",40대,여성,,가이 리치,,,월트 디즈니 픽처스라이드백마크 플랫 프로덕션스,,,,미나 마수드나오미 스콧윌 스미스마르반 켄자리나비드 네가반나심 페드라드빌리 매그너슨누만 아자르,미국,영어
10,미션 임파서블 : 고스트 프로토콜,영화,2011,98.2,"coupang, disney, wavve",40대,여성,,브래드 버드,,,배드 로봇 프로덕션스TC 프로덕션스필름 워크스스카이댄스 프로덕션스스틸킹 프로덕션,,,,톰 크루즈제러미 레너사이먼 페그폴라 패튼,미국,영어
11,미션 임파서블,영화,1996,98.8,"coupang, disney, wavve",40대,여성,,,,,,,,,,,
13,거룩한 밤: 데몬 헌터스,영화,2025,17.9,"boxoffice, coupang, disney",40대,여성,,임대희[1],,,빅펀치픽쳐스노바필름,,,,마동석서현이다윗경수진정지소,대한민국,한국어
15,미션 임파서블: 파이널 레코닝,영화,2025,80.0,"boxoffice, coupang, disney",40대,여성,,크리스토퍼 매쿼리,,,스카이댄스 미디어TC 프로덕션스,,,,톰 크루즈헤일리 앳웰빙 레임스사이먼 페그버네사 커비이사이 모랄레스폼 클레멘티프앤절라 배싯헨리 처니,미국,영어
18,썬더볼츠*,영화,2025,96.2,"boxoffice, coupang, disney",40대,여성,,제이크 슈라이어,,,마블 스튜디오,,,,세바스티안 스탄 해나 존카먼 와이엇 러셀 줄리아 루이드라이퍼스 플로렌스 퓨 데이비드 하버 올가 쿠릴렌코 해리슨 포드 루이스 풀먼,미국,영어
27,A MINECRAFT MOVIE 마인크래프트 무비,영화,2025,63.8,"boxoffice, coupang, disney",40대,여성,,재러드 헤스[1],,,"레전더리 엔터테인먼트
모장 스튜디오
버티고 엔터테인먼트
도메인 엔터테인먼트
온 더 롬",,,,잭 블랙 제이슨 모모아 엠마 마이어스 대니엘 브룩스 서배스천 유진 핸슨 제니퍼 쿨리지,미국,영어
30,24시 헬스클럽,드라마,2025,66.7,"coupang, disney, watcha, wavve",40대,여성,"로맨틱 코미디, 성장",박준수 최연수,70분,"KBS 드라마, TLC","CJ ENM 스튜디오스, 본팩토리, 몬스터유니온, 키이스트",,2025년 4월 30일 ~ 2025년 6월 5일,12부작,이준영 정은지 외,한국,
31,디어엠,드라마,2025,85.7,"coupang, disney, watcha, wavve",40대,여성,"청춘, 로맨스",박진우 서주완,70분,KBS Drama,"플레이리스트, 몬스터유니온",,2025년 4월 14일 ~ 2025년 5월 20일,12부작,박혜수 정재현 노정의 배현성 우다비 이진혁 외,,
32,바이러스,영화,2025,46.0,"boxoffice, coupang, disney",40대,여성,,,,,,,,,,,
33,해피엔드,영화,2024,97.3,"boxoffice, coupang, disney",40대,여성,,소라 네오,,,"작쿠발란
시네릭 크리에이티브
시네마 이누틸레
기린 픽처스
스파크 피처스
Sons of Rigor",,,,쿠리하라 하야토 히다카 유키토 하야시 유타 시나 펭 아라지 이노리 키라라 나카지마 아유무 야하기 마사루 푸심 와타나베 마키코 사노 시로,"일본
미국",일본어[1]
38,"미안하다, 사랑한다",드라마,2004,94.0,"coupang, disney, watcha, wavve",40대,여성,"멜로, 로맨스, 휴머니즘",이형민,70분,스카이 KBS 드라마KBS 프라임(이상 유료방송),,,2004년 11월 8일 ~ 2004년 12월 28일,16부작,소지섭 임수정 정경호 서지영 외,대한민국,
40,서브스턴스,영화,2024,94.3,"coupang, disney, watcha, wavve",40대,여성,,,,,,,,,,,
41,태어난 김에 세계일주,예능,2022,95.1,"coupang, disney, wavve",40대,여성,여행 버라이어티,나성희 배준휘 유현철 정재호 류서현 고미혜 김나연 이미희 최성수 김민아 박혜빈 이은솔 조은빈 김연홍 최유나,95분,MBC 드라마넷MBC 에브리원MBC M더라이프채널SE채널,,,시즌 1: 2022년 12월 11일 ~ 2023년 1월 22일,시즌 1: 7부작,기안84 빠니보틀 이시언,대한민국,
42,괴수 8호: 미션 리컨,"영화, 애니메이션",2025,80.0,"boxoffice, coupang, disney",40대,여성,,,,,,,,,,,
45,조명가게,드라마,2024,93.8,"coupang, disney",40대,여성,"공포, 미스터리",김희원,,,"미스터로맨스, 무빙픽쳐스컴퍼니",,2024년 12월 4일 ~ 2024년 12월 18일,8부작,주지훈박보영 외,대한민국,
46,범죄도시 2,영화,2022,93.3,"coupang, disney, wavve",40대,여성,,이상용,,,"빅펀치픽쳐스
홍필름
비에이엔터테인먼트",,,,마동석 손석구 최귀화 박지환 허동원 하준 정재광 남문철 박지영,대한민국,한국어
47,하이퍼나이프,드라마,2025,87.2,"coupang, disney",40대,여성,"의학, 범죄 스릴러",김정현[1],1시간 8분,,"주식회사 동풍, 블라드스튜디오",,2025년 3월 19일 ~ 2025년 4월 9일,8부작,설경구 박은빈 외,대한민국,
48,콘클라베,영화,2024,98.5,"boxoffice, coupang, disney, watcha, wavve",40대,여성,,,,,,,,,,,
49,28주 후,영화,2007,88.1,"coupang, disney, wavve",40대,여성,,후안 카를로스 프레스나디요,,,"DNA Films,Figment Films",,,,,영국,영어
50,극장판 진격의 거인 완결편 더 라스트 어택,"영화, 애니메이션",2024,98.7,"boxoffice, coupang, disney",40대,여성,,하야시 유이치로,,,,,,,카지 유우키 이시카와 유이 이노우에 마리나 그 외,일본,일본어
51,로비,영화,2025,58.3,"coupang, disney, watcha, wavve",40대,여성,,,,,,,,,,,
53,독수리 5형제를 부탁해!,드라마,2025,87.5,"coupang, disney, wavve",40대,여성,"가족, 코미디",최상열 이진아,1시간 20분,"KBS 드라마, KBS 월드",DK E&M,,2025년 2월 1일 ~ 2025년 7월 20일,50부작,엄지원 안재욱 최대철 김동완 윤박 이석기,한국,
56,범죄도시,영화,2017,92.7,"coupang, disney, wavve",40대,여성,,강윤성,,,"홍필름
비에이엔터테인먼트",,,,마동석 윤계상 조재윤 최귀화 임형준 진선규 홍기준 허동원 하준,대한민국,
